primaryTitle,startYear,critic_rating,critic_review
The Crucible,1914,80,"                      The story is one of gripping Interest, and in no photo drama in which she has appeared has Miss Clark's dramatic gift been shown to greater advantage.                  "
Damaged Goods,1914,86,"                      It is to be regretted that it is no better a piece of workmanship than it is, for in spite of its pictorial shortcomings, it will probably have a wide circulation and it might have been much more efficient in its purpose had it been more artistic.                  "
Carmen,1915,80,                      Frankly a mess.                  
Inspiration,1915,100,                      The picture is finely staged and contains many clever bits of photography. The cast is adequate.                  
The Iron Claw,1916,100,"                      [The Iron Claw] is proving very popular, and judging from the first episodes should unfold an interesting story. Many good artists are appearing, and the story is set amidst artistic surroundings.                  "
Romeo and Juliet,1916,100,"                      As a picture it was interesting, and would have furnished a splendid entertainment if one had never heard of Shakespeare.                  "
Shoes,1916,89,"                      The production rings true, and at no moment do the players appear to be acting.                  "
Cleopatra,1917,91,                      The film Cleopatra is another proof that the kinema may accomplish some of the effects of authentic dramatic art if it will only select its subjects judiciously.                  
Mutiny,1917,100,"                      It does not come mincingly forward draped in a cloak of righteousness, posing as a great moral lesson. Just seeps boldly forth decked with blood, thunder, cruel father, villain, true lover. and beleaguered heroine.                  "
Southern Justice,1917,71,"                      There is quite a bit of action toward the finish of the picture, and the pleasingly presented incidents, humorous and pathetic, throughout the story, maintain the interest and prevent dragginess.                  "
Arizona,1918,71,"                      The play has only one speed, and that's the third.                  "
Queen of the Sea,1918,80,"                      Aside from beautiful tinting and the undoubted aquatic prowess of Annette Kellermann, I'm afraid I shall have to class Queen of the Sea as rather poor entertainment.                  "
Deliverance,1919,88,"                      Miss Keller herself is a marvel of intuition and mechanical perfection, but I think the story, the human interest, is almost spoiled by the enormous amount of propaganda so unnecessarily inserted into the last reels.                  "
The Miracle Man,1919,95,                      There has been no more beautiful or fascinating play on the screen than is The Miracle Man. It is all entertainment.                  
Upstairs,1919,88,"                      Don't miss it if you want to see a really breezy, diverting fun film, with Mabel Normand at her very brilliant best.                  "
The Right of Way,1920,83,"                      A number of hugely interesting characters, are introduced, too, only to be dropped.                  "
Treasure Island,1920,82,"                      If you like the romance of pirates and hidden treasure, of old sailing vessels and lonely islands, you'll enjoy each moment of this presentation of Robert Louis Stevenson's tale.                  "
Disraeli,1921,100,"                      The remarkably finished performance of George Arliss, aided by Margaret Dale and a thoroughly competent cast, serves to bring out the dramatic elements in Louis Parker's play just about as effectively as they were brought out on the stage.                  "
The Great Moment,1921,67,                      The Great Moment is worth seeing for the engaging story and lively performances.                  
Jane Eyre,1921,80,"                      It will be appreciated most by admirers of the kind of entertainment that depends upon beauteous production, simplicity of narrative and wonderful photography, rather than thrills, surprises or spectacular effects.                  "
Destiny,1921,90,"                      It is one of three very remarkable German productions (the other two, The Cabinet of Dr. Caligari and The Street, will be released shortly) that are bound, sooner or later, to effect radical changes in the standards of film-making.                  "
Outside the Law,1920,100,"                      A good idea, well worked out, an decidedly well acted by Priscilla Dean, Wheeler Oakman and the ferocious Lon Chaney. We recommend the picture to those who share our own dime novel tastes.                  "
Clarence,1922,71,"                      Mr. Reid's expert interpretation of this character ought to silence those jealous males who have always said of him, scornfully, that he can't do anything but look pretty.                  "
Nanook of the North,1922,100,"                      Whether it’s for a film history course, or if you’re a film buff who’s working through cinematic milestones, Nanook is worth your time.                  "
Phantom,1922,43,"                      Far from some visual notes that at times add certain dreamlike qualities, I have the impression that it is a minor piece of Murnau's early expressionist cinema. [Full review in Spanish]                  "
Thirty Days,1922,33,"                      As a whole, it is a mediocre comedy which never arouses any great amount of interest and is only mildly amusing.                  "
The Enchanted Cottage,1924,86,"                      After her clever performance in that silly film Claudia, Dorothy McGuire gives a remarkable demonstration of her versatility as Laura.                  "
Merton of the Movies,1924,81,"                      James Cruze directed Merton of the Movies, and the briskness, snap and spontaneity which distinguish all his productions are evident throughout the picture.                  "
Michael,1924,94,"                      ...it holds its own not just through its stunning technical prowess, but also in its surprising cultural longevity.                  "
Three Women,1924,89,"                      Performance-wise, only Frederick manages a real and interesting turn here. She's fascinating to watch, and knows exactly how to play to the camera. Everyone else either overacts, mugs, or becomes part of the scenery.                  "
